nan,kierunek,date,dzień tygodnia,start_time,liczba godzin lekcyjnych,class,title,instructor,subject,method,room,uwagi
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,9 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,10 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,8 b,mgr,SANOCKA Mariola,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,9 b,mgr,SANOCKA Mariola,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,10 b,mgr,SANOCKA Mariola,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,8 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,9 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,10 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,11 a,mgr,MANKE Elżbieta,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,12 a,mgr,MANKE Elżbieta,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,13 a,mgr,MANKE Elżbieta,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,11 b,mgr,BATYCKI Patryk,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,12 b,mgr,BATYCKI Patryk,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,13 b,mgr,BATYCKI Patryk,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,11 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,12 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,13 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,14 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,15 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,16 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,14 b,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,15 b,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,16 b,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,14 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,15 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,16 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,8,dr,ŁUPICKA Joanna,Anatomia,ćwiczenia,"sala 206 d
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,8,mgr,WALKOWIAK Justyna,Pedagogika,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,9,mgr,WALKOWIAK Justyna,Pedagogika,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,9,dr,ŁUPICKA Joanna,Anatomia,ćwiczenia,"sala 206 d
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,10,dr,ŁUPICKA Joanna,Anatomia,ćwiczenia,"sala 206 d
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,10,mgr,WALKOWIAK Justyna,Pedagogika,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,11,mgr,KULAWSKI Daniel,Socjologia,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,12,mgr,KULAWSKI Daniel,Socjologia,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,13,mgr,KULAWSKI Daniel,Socjologia,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,14,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,15,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,16,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-12-06,sobota,8.00-11.45,5,15,,,Fizjologia,ćwiczenia,brak sali,Zajęcia przeplanowane na dzień 14.12.2025
,PIEL I WEEK,2025-12-06,sobota,12.00-15.45,5,16,,,Fizjologia,ćwiczenia,brak sali,Zajęcia przeplanowane na dzień 14.12.2025
,PIEL I WEEK,2025-12-06,sobota,16.00-19.45,5,14,,,Fizjologia,ćwiczenia,brak sali,Zajęcia przeplanowane na dzień 14.12.2025
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,6 a,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,7 a,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,5 a,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,6 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,7 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,5 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,6 c,mgr,SOSZYŃSKA Agnieszka,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,7 c,mgr,SOSZYŃSKA Agnieszka,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,5 c,mgr,SOSZYŃSKA Agnieszka,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,9 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,10 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,8 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,9 b,mgr,GRZESIK Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,10 b,mgr,GRZESIK Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,8 b,mgr,GRZESIK Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,9 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,10 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,8 c,mgr,KAMIŃSKA Dorota,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,12 a,mgr,MANKE Elżbieta,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,13 a,mgr,MANKE Elżbieta,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,11 a,mgr,MANKE Elżbieta,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,12 b,mgr,BATYCKI Patryk,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,13 b,mgr,BATYCKI Patryk,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,11 b,mgr,BATYCKI Patryk,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,12 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,13 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,11 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,15 a,mgr,NAPIERAŁA Wiesława,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,16 a,mgr,NAPIERAŁA Wiesława,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,14 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,15 b,mgr,FRANEK Alicja,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,16 b,mgr,FRANEK Alicja,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,14 b,mgr,FRANEK Alicja,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,15 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,16 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,14 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,5,mgr,WALKOWIAK Justyna,Pedagogika,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,5,dr,ŁUPICKA Joanna,Anatomia,ćwiczenia,"sala 206 d
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,6,mgr,WALKOWIAK Justyna,Pedagogika,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,6,dr,ŁUPICKA Joanna,Anatomia,ćwiczenia,"sala 206 d
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,7,dr,ŁUPICKA Joanna,Anatomia,ćwiczenia,"sala 206 d
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,7,mgr,WALKOWIAK Justyna,Pedagogika,ćwiczenia,"sala 204
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,11,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 207 a
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,12,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 207 a
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,13,dr,ADAMEK Renata,Dietetyka,ćwiczenia,"sala 207 a
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,14,mgr,KULAWSKI Daniel,Socjologia,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,15,mgr,KULAWSKI Daniel,Socjologia,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,16,mgr,KULAWSKI Daniel,Socjologia,ćwiczenia,"sala 103 g
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,13,,,Fizjologia,ćwiczenia,brak sali,Zajęcia przeplanowane na dzień 18.01.2026
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,11,,,Fizjologia,ćwiczenia,brak sali,Zajęcia przeplanowane na dzień 18.01.2026
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,12,,,Fizjologia,ćwiczenia,brak sali,Zajęcia przeplanowane na dzień 18.01.2026
,PIEL I WEEK,2025-12-07,niedziela,8.00-11.45,5,10,mgr,MENCEL Ewa,Język angielski,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,12.00-15.45,5,8,mgr,MENCEL Ewa,Język angielski,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-12-07,niedziela,16.00-19.45,5,9,mgr,MENCEL Ewa,Język angielski,ćwiczenia,"sala 103 d
Świerzawska 18",
,PIEL I WEEK,2025-12-10,środa,16.00-19.45,5,8 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,7 a,mgr,DRÓŻDZYŃSKA Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,5 a,mgr,DRÓŻDZYŃSKA Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,6 a,mgr,DRÓŻDZYŃSKA Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 217",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,7 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,5 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,6 b,mgr,PRZYBYSZ Hanna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 5",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,7 c,mgr,KILJAŃCZYK Ewa,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,5 c,mgr,KILJAŃCZYK Ewa,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,6 c,mgr,KILJAŃCZYK Ewa,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 14",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,10 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,8 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,9 a,mgr,STASIK Sylwia,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 219",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,10 b,mgr,SANOCKA Mariola,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,8 b,mgr,SANOCKA Mariola,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,9 b,mgr,SANOCKA Mariola,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 302",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,10 c,mgr,FORTUNIAK Maria,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,8 c,mgr,FORTUNIAK Maria,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,9 c,mgr,FORTUNIAK Maria,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 214",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,13 a,mgr,KOWALSKI Piotr,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,11 a,mgr,KOWALSKI Piotr,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,12 a,mgr,KOWALSKI Piotr,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,13 b,mgr,TACZKOWSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,11 b,mgr,TACZKOWSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,12 b,mgr,TACZKOWSKA Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 a",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,13 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,11 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,12 c,mgr,KUSKA Małgorzata,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 218",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,16 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,14 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,15 a,mgr,KOLONKO Tomasz,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 116 b",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,16 b,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,14 b,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,15 b,mgr,KURPISZ Monika,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 110",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,16 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-13,sobota,12.00-15.45,5,14 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-13,sobota,16.00-19.45,5,15 c,mgr,ZŁOCH Katarzyna,Podstawy pielęgniarstwa,ćwiczenia,"pracownia umiejętności pielęgniarskich
Bułgarska 55 sala nr 113",
,PIEL I WEEK,2025-12-13,sobota,8.00-11.45,5,5,dr hab.,WOJCIECHOWSKA Małgorzata,Psychologia,ćwiczenia,"sala 110 a
Świerzawska 18",
